author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
1421815220213796884,1531661099174662145,2022-05-31T15:37:17.000Z,1531661099174662145,"",0,0,0,3,"RT @h4ck3r_tr4d3r: Recebi da 
@AluraOnline
  3 dias para testar a plataforma gratuitamente. Senti firmeza.

👍
#bolhadev"
2422770884,1532898495929241602,2022-06-04T01:34:15.000Z,1532898495929241602,1467726470533754880,1,0,0,0,"@nextjs + @omariosouto + ☕ = 💙

Obrigado @AluraOnline e @omariosouto por este curso maravilhoso :3"
1174834964413722624,1532490801787424777,2022-06-03T16:58:22.000Z,1532768667808763904,3363344337,1,0,0,0,"@camelouu Os cursos da @AluraOnline .

Principalmente os de PHP, o instrutor é massa demais (@cviniciussdias)"
43900459,1532136413239582721,2022-06-02T13:49:51.000Z,1532358837017186307,797466618049822722,2,0,1,0,"@L4lves @AluraOnline @flaviohalmeida @cviniciussdias @omariosouto parabéns Lucas! Fruto do seu esforço, daqui pra frente é só coisa boa!"
2206041386,1533204830344425474,2022-06-04T21:58:45.000Z,1533206647471996930,14263050,9,0,1,0,@paulo_caelum Minha ideia: cria um botão na plataforma da @AluraOnline igual a @vercel faz pra criar um projeto a partir de um exemplo. Com isso vc instala seu bot e consegue ter uma rotina pra olhar os últimos commits que foram pra main. Da mais trabalho mas parece mais garantido
14263050,1531962792638545922,2022-06-01T11:36:06.000Z,1531962792638545922,"",0,0,0,2,"RT @Weltonvaz: Desenvolvedor Back-end em Bolonha, Itália – Dev Sem Fronteiras  -&gt; https://t.co/ekUBzqA0Nt

Obs.: Obrigado @paulo_caelum @Al…"
1223001762396852224,1533455982570917888,2022-06-05T14:29:31.000Z,1533455982570917888,"",0,0,0,1,RT @code_magas: Mais um ano renovado na @AluraOnline! Vambora! https://t.co/wAdnXIxqNM
1449222497610747908,1532405727670808576,2022-06-02T16:56:10.000Z,1532405727670808576,"",1,0,1,0,Só eu que acho esse barulhinho dos vídeos da @AluraOnline parecido com o da sessão da tarde?
1258585321618444288,1532495345799909383,2022-06-02T22:52:17.000Z,1532495345799909383,"",2,0,0,0,"#AprendiNaAlura 

Mais um curso finalizado na @AluraOnline 
Foram trabalhados ótimos conceitos.

https://t.co/LUbw6TY9is"
85974470,1532872793037094912,2022-06-03T23:52:07.000Z,1532872793037094912,"",0,0,0,2,"RT @AluraOnline: Você piscou e os lançamentos da semana chegaram 🤩

Vem conferir o melhor de HTML e CSS, React Native e 5 novos outros curs…"
105051488,1532068184463142913,2022-06-01T18:40:51.000Z,1532069681905156096,1566580880,2,0,1,0,@AluraOnline deploys só de segunda a quinta kkkkkkkk
1566580880,1531809605109567489,2022-06-01T20:24:16.000Z,1532095709381541890,142683700,1,0,0,1,@aaamenezes https://t.co/Y19qobGi95
949128387104145415,1530640559970435080,2022-05-30T18:12:16.000Z,1531337712938131458,1566580880,1,0,0,0,@AluraOnline 😅🤓
328850966,1532183198792294400,2022-06-02T14:54:36.000Z,1532375133851160579,117800394,1,0,0,0,"@v_njg @AluraOnline @dnlsilvestre ahhhh, que amor de tweet! muito obrigada 🥺💙"
3374408962,1532810165510098946,2022-06-03T19:43:16.000Z,1532810165510098946,"",0,0,0,2,"RT @AluraOnline: Você piscou e os lançamentos da semana chegaram 🤩

Vem conferir o melhor de HTML e CSS, React Native e 5 novos outros curs…"
19669503,1531611976715075585,2022-05-31T12:22:05.000Z,1531611976715075585,1566580880,1,0,1,0,@AluraOnline tem desconto pra pagar à vista?
33372738,1532486926036795392,2022-06-02T22:18:50.000Z,1532486926036795392,"",0,0,0,4,"RT @AluraOnline: E você, está acompanhando a nossa websérie de memes do JS? 🤔

Se ainda não está, dá uma passadinha no nosso canal do youtu…"
767855215152422912,1533789315972612096,2022-06-06T12:34:04.000Z,1533789315972612096,"",2,0,0,1,"A @aluraonline garante conhecimento com profundidade, para você se tornar um profissional em T - incluindo programação, front-end, data science, devops, ux &amp; design, mobile, inovação &amp; gestão. #publi Aproveite o desconto para ouvintes Naruhodo: https://t.co/DMf8EQLSJS https://t.co/pLEqxvk7sl"
1361256563713966082,1530247538279841792,2022-05-30T17:24:42.000Z,1531325743195738112,1566580880,0,0,0,0,@AluraOnline e a faculdade de voceeees???
105051488,1532068184463142913,2022-06-01T19:22:01.000Z,1532080041357561856,1566580880,1,0,0,0,@AluraOnline uhum.
321435269,1532483679523590144,2022-06-02T23:00:02.000Z,1532497295064944670,321435269,1,0,0,0,"@EduardoF_O @gusjochem @nathfinancas @AluraOnline Alguns exemplos nas + diversas áreas&gt;
 Mulheres Agilistas, mulheres de produto, ladies that UX, UX para minas pretas, Cloud Girls, reprograma, Wo Maker Code, Programa Maria, Py Ladies.
Essas são comunidades femininas, no geral, que fazem um trabalho em grande parte voluntário 10"
1174834964413722624,1532035710093598721,2022-06-01T16:25:51.000Z,1532035710093598721,"",0,0,0,2,"RT @gsdesenvolvedor: Os caras usando PHP em Stranger Things, fizeram @AluraOnline com o @cviniciussdias 💜 https://t.co/63hDtQxpZq"
625145246,1531380115615191040,2022-05-30T21:35:56.000Z,1531388969853886467,582170146,0,0,0,0,@lucasrdcosta1 @gaveta @AluraOnline Se é um curso de Star Wars eu quero!
1336280517080211459,1532317952913063938,2022-06-02T11:07:23.000Z,1532317952913063938,1566580880,0,0,0,0,@AluraOnline https://t.co/BT37xr12Wn
1308827733246574601,1532014169402269697,2022-06-01T15:00:16.000Z,1532014169402269697,"",17,0,1,0,"Terminei o primeiro curso de Redis na @AluraOnline 

Foi bem maneiro entender sobre redis, como funciona, como setar chaves e também suas estruturas como hash, bits e também realizar algumas operações no redis :) 

#AprendiNaAlura https://t.co/TJX3WoswQ9"
1426510450896871425,1532068184463142913,2022-06-01T19:10:21.000Z,1532077106443603970,1566580880,0,0,0,0,"@AluraOnline Por menos cabelos brancos e mais cabelos. Por nossa sanidade metal e inteligência emocional. Para fins de semanas mais tranquilos, assim como os comerciais de margarina, sem sombra alguma de dúvida: Deploys só de segunda a quinta: 💙

Respondido? 😛"
88726211,1533583870129577985,2022-06-06T13:59:00.000Z,1533810690196226049,1529236824,0,0,0,0,"@Allan_barbsa @tomazfernandes_ @sseraphini @AluraOnline @guanabara Boa, Allan! Tirou muita onda! 😎
Sucesso pra você nessa nova jornada 💚🚀"
9084932,1531973013570207745,2022-06-01T12:16:43.000Z,1531973013570207745,"",2,0,1,0,Alguém aí tem um cupom de descontinho da @AluraOnline?
1497176338708451333,1531816618057248775,2022-06-02T09:38:11.000Z,1532295502003376128,2458756223,0,0,0,0,"@werikandres @diogo_paschoal @paulo_caelum @AluraOnline Boa ideia cara... @paulo_caelum , pensa nessa ideia aí! Vender como assinatura."
2206041386,1532454306162655257,2022-06-02T20:09:12.000Z,1532454306162655257,"",8,0,0,1,Daqui a pouco meu povo!!!! https://t.co/29rWMFhHbJ
34991631,1531738983763427330,2022-05-31T20:46:46.000Z,1531738983763427330,"",0,0,0,4,"RT @AluraOnline: Chegamos ao quinto e último episódio da nossa websérie de memes do JS 😆

Neste episódio, nossos apresentadores trazem um t…"
